day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 5,cam 1,rep17,control,377.25,353.45,324.96,277.49,165.86,267.29,169.93,166.39,118.94,87.53,73.75,72.95,2.72,0,0,0,7.51,70.06,2536.08,10.43478261,34.7826087,24.08026756,4.280936455,0,62.60869565,23.5451505,52.7090301,0,0,0,0,0,0,0,0,0,0,212.4414716,11.57,43.79,23.04,5,0,40.34,13.29,19.11,0,0,0,0,0,0,0,0,0,0,156.14
day 5,cam 2,rep18,control,336.76,170.78,118.39,117.07,90.14,87.28,87.54,64.15,20.05,0,0,19.69,0,0,0,0,0,0,1111.85,6.153846154,0,9.364548495,26.22073579,0,198.7959866,188.0936455,0,0,0,0,0,0,0,0,0,0,0,428.6287625,13.25,0,13.64,12.35,0,37.02,28.35,0,0,0,0,0,0,0,0,0,0,0,104.61
day 5,cam 2,rep18,control,469.51,190.68,132.3,40.12,50.88,45.5,51.68,65.95,0.17,0,0,32.21,0,0,0,0,0,0,1079,100.0668896,0,16.05351171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.1204013,92.73,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.39
day 5,cam 3,rep19,control,544.35,258.02,220.92,183.62,177.78,202.49,177.76,145.92,96.91,88.98,87.25,101.05,93.83,59.95,103.67,74.11,77.07,50.65,2744.33,47.89297659,9.899665552,0,76.52173913,36.38795987,39.33110368,29.96655518,19.53177258,0,0,0,46.55518395,69.29765886,0,80.80267559,0,77.32441472,0,533.5117057,67.2,11.31,0,25.04,25.56,27.52,15.21,11.13,0,0,0,10.52,24.05,0,19.75,0,16.77,0,254.06
day 5,cam 3,rep19,control,398.58,322.68,282.55,202.07,111.12,112.81,126.87,106.96,94.11,88.2,107.92,59.18,120.02,59.12,73.38,63.53,42.88,73.74,2445.72,45.2173913,2.408026756,12.04013378,33.71237458,136.4548495,24.88294314,43.07692308,2.408026756,0,5.618729097,203.8795987,0,50.56856187,0,0,0,0,118.7959866,679.0635452,41.22,1.69,9.4,12.78,14.39,9.52,12.32,1.53,0,2.97,38.97,0,22.07,0,0,0,0,17.38,184.24
day 5,cam 4,rep20,control,248.62,169.99,88.3,153.9,113.61,152.38,121.23,91.27,93.89,73.34,116.81,114.48,84.25,70.31,103.07,68.91,67.09,NA,1931.45,143.9464883,162.6755853,240.8026756,271.5719064,131.1036789,63.41137124,9.364548495,187.5585284,41.73913043,0,0,32.10702341,2.675585284,0,98.99665552,0,0,NA,1385.953177,58.15,12.89,32.9,57.84,37.51,22.44,4.62,27.49,8.24,0,0,12.36,0.64,0,18.13,0,0,NA,293.21
day 5,cam 4,rep20,control,416.33,311.61,179.46,238.74,134.76,155.19,86.49,57.27,169.37,58.91,62.18,129.03,46.6,46.4,40.57,5.67,0,NA,2138.58,13.64548495,44.94983278,34.24749164,38.52842809,4.013377926,0,0,0,41.20401338,0,438.5284281,14.44816054,0,0,0,0,0,NA,629.5652174,22.75,38.03,16.28,29.15,3.78,0,0,0,28.8,0,45,14.76,0,0,0,0,0,NA,198.55
day 6,cam 1,rep21,control,200.96,162,80.42,114.12,93.77,64.54,47.54,0,0,0,0,0,2.31,0,0,0,0,136.15,901.81,0,0,0,58.06020067,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92307692,94.98327759,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,27.88
day 6,cam 1,rep21,control,128.2,126.68,102.35,86.16,85.74,111.22,105.75,98.74,91.64,67.34,72.46,91.06,34.83,0,0,0,0,0,1202.17,0,40.93645485,0,0,0,56.98996656,32.37458194,124.4147157,99.26421405,0,0,0,0,0,0,0,0,0,353.9799331,0,9.45,0,0,0,12.8,3.97,30.52,23.28,0,0,0,0,0,0,0,0,0,80.02
day 6,cam 2,rep22,control,278.36,273.24,203.93,168.09,201.38,173.05,128.43,87.38,71.6,119.81,101.38,64.73,49.6,76.11,108.12,82.27,95.56,92.88,2375.92,2.140468227,0,10.16722408,0,24.61538462,0,0,0,27.55852843,24.34782609,11.23745819,0,0,10.96989967,17.39130435,17.12374582,21.13712375,31.0367893,197.7257525,3.71,0,10.78,0,11.15,0,0,0,8.36,7.42,5.36,0,0,6.04,9.97,5.13,12.2,12.28,92.4
