"day","camera","hour","arena","infection.status","track","total_distance_traveled_pixels","time_spent_in_open","distance_spent_in_open","minutes.moving","minutes.staying","tot.distance.cm","tot.distance.m","seconds.time.spent.in.open","open.distance.cm","open.speed.cmxmin"
"day 8","cam 4","hour 1","arena 32","control",3,31355.7923882268,1113,4507.889760394,5,54.5,829.62,8.2962,297.792642140468,119.27,23.9
"day 8","cam 4","hour 1","arena 32","control",4,55333.7654013559,554,4272.98951953953,2.5,57,1464.04,14.6404,148.227424749164,113.06,45.2
"day 1","cam 1","hour 2","arena 1","infected",1,17766.3799356469,998,1214.2121867814,4.5,55.7,470.07,4.7007,267.023411371237,32.13,7.1
"day 1","cam 1","hour 2","arena 1","infected",2,24418.2035712891,514,1791.91861089585,2.3,57.8,646.06,6.4606,137.52508361204,47.41,20.6
"day 1","cam 1","hour 2","arena 1","control",3,0,0,0,0,60.1,0,0,0,0,0
"day 1","cam 1","hour 2","arena 1","control",4,28234.497738884,1620,6162.18615258267,7.2,52.9,747.04,7.4704,433.444816053512,163.04,22.6
"day 1","cam 2","hour 2","arena 2","infected",1,22632.4832562362,955,3030.46523797558,4.3,55.9,598.82,5.9882,255.518394648829,80.18,18.6
"day 1","cam 2","hour 2","arena 2","infected",2,19174.710314407,95,441.54566184321,0.4,59.7,507.33,5.0733,25.4180602006689,11.68,29.2
"day 1","cam 2","hour 2","arena 2","control",3,24350.5832838713,734,2320.51508457676,3.3,56.9,644.28,6.4428,196.387959866221,61.4,18.6
"day 1","cam 2","hour 2","arena 2","control",4,24663.4385169295,1324,4182.08939221613,5.9,54.2,652.55,6.5255,354.247491638796,110.65,18.8
"day 1","cam 3","hour 2","arena 3","infected",1,19342.1048324125,309,1020.59963556074,1.4,58.8,511.76,5.1176,82.6755852842809,27,19.3
"day 1","cam 3","hour 2","arena 3","infected",2,13191.8696390109,0,0,0,60.1,349.03,3.4903,0,0,0
"day 1","cam 3","hour 2","arena 3","control",3,0,0,0,0,60.1,0,0,0,0,0
"day 1","cam 3","hour 2","arena 3","control",4,20800.2131012213,296,1129.07083211836,1.3,58.8,550.34,5.5034,79.1973244147157,29.87,23
"day 1","cam 4","hour 2","arena 4","infected",1,885.969039616769,0,0,0,60.2,23.44,0.2344,0,0,0
"day 1","cam 4","hour 2","arena 4","infected",2,23433.6830190668,712,2202.4097772353,3.2,57,620.02,6.2002,190.501672240803,58.27,18.2
"day 1","cam 4","hour 2","arena 4","control",3,23510.2200823371,2627,6928.09035856282,11.7,48.4,622.04,6.2204,702.876254180602,183.31,15.7
"day 1","cam 4","hour 2","arena 4","control",4,28227.1540517271,423,1729.81051986654,1.9,58.3,746.84,7.4684,113.177257525084,45.77,24.1
"day 2","cam 1","hour 2","arena 5","infected",1,7440.26166340987,85,749.10417859865,0.4,59.8,196.86,1.9686,22.742474916388,19.82,49.5
"day 2","cam 1","hour 2","arena 5","infected",2,26673.5759063696,446,2069.98798204562,2,58.2,705.74,7.0574,119.33110367893,54.77,27.4
"day 2","cam 1","hour 2","arena 5","control",3,24273.4471034362,1004,2825.80617939531,4.5,55.7,642.23,6.4223,268.628762541806,74.77,16.6
"day 2","cam 1","hour 2","arena 5","control",4,39937.6993093138,701,4532.34988686363,3.1,57,1056.68,10.5668,187.558528428094,119.92,38.7
"day 2","cam 2","hour 2","arena 6","infected",1,25294.8147298177,1352,4189.51798602453,6,54.1,669.26,6.6926,361.739130434783,110.85,18.5
"day 2","cam 2","hour 2","arena 6","infected",2,0,0,0,0,60.1,0,0,0,0,0
"day 2","cam 2","hour 2","arena 6","control",3,15166.8291344068,1307,2173.48857659432,5.8,54.3,401.29,4.0129,349.698996655518,57.51,9.9
