day,hour,camera,arena,infection.status,track,distance.traveled.pixels,tot.distance.cm,frames,minutes.moving,minutes.staying,speed.cmxmin,tot.distance.m,seconds.moving,speed.mxsec,speed.cmxsec
day 7,hour 1,cam 2,arena 26,infected,2,15653.94517,414.18,13175,58.8,0,7,4.1418,440.6354515,0.01,0.94
day 7,hour 1,cam 2,arena 26,control,3,62591.02355,1656.05,13100,58.4,0.3,28.4,16.5605,438.1270903,0.04,3.78
day 7,hour 1,cam 2,arena 26,control,4,38825.36849,1027.25,13004,58,0.8,17.7,10.2725,434.916388,0.02,2.36
day 7,hour 1,cam 3,arena 27,infected,1,37421.45214,990.11,13127,58.5,0.2,16.9,9.9011,439.0301003,0.02,2.26
day 7,hour 1,cam 3,arena 27,infected,2,29040.74276,768.37,12694,56.6,2.1,13.6,7.6837,424.548495,0.02,1.81
day 7,hour 1,cam 3,arena 27,control,3,29215.72839,773,11215,50,8.7,15.5,7.73,375.083612,0.02,2.06
day 7,hour 1,cam 3,arena 27,control,4,42122.31223,1114.49,13176,58.8,0,19,11.1449,440.6688963,0.03,2.53
day 7,hour 1,cam 4,arena 28,infected,1,17138.1162,453.45,13218,58.9,0.9,7.7,4.5345,442.0735786,0.01,1.03
day 7,hour 1,cam 4,arena 28,infected,2,37686.33641,997.12,13235,59,0.9,16.9,9.9712,442.6421405,0.02,2.25
day 7,hour 1,cam 4,arena 28,control,3,47777.2838,1264.11,13274,59.2,0.7,21.4,12.6411,443.9464883,0.03,2.85
day 7,hour 1,cam 4,arena 28,control,4,24474.13902,647.54,13428,59.9,0,10.8,6.4754,449.09699,0.01,1.44
day 8,hour 1,cam 1,arena 29,infected,1,48415.4433,1280.99,12549,56,3.1,22.9,12.8099,419.6989967,0.03,3.05
day 8,hour 1,cam 1,arena 29,infected,2,6617.160792,175.08,3937,17.6,41.5,9.9,1.7508,131.6722408,0.01,1.33
day 8,hour 1,cam 1,arena 29,control,3,54877.86573,1451.98,13249,59.1,0,24.6,14.5198,443.1103679,0.03,3.28
day 8,hour 1,cam 1,arena 29,control,4,50578.90618,1338.23,13252,59.1,0,22.6,13.3823,443.2107023,0.03,3.02
day 8,hour 1,cam 2,arena 30,infected,1,35706.65919,944.74,7141,31.8,1.1,29.7,9.4474,238.8294314,0.04,3.96
day 8,hour 1,cam 2,arena 30,infected,2,15505.17967,410.24,7394,33,0,12.4,4.1024,247.2909699,0.02,1.66
day 8,hour 1,cam 2,arena 30,control,3,32467.39792,859.03,7283,32.5,0.5,26.4,8.5903,243.5785953,0.04,3.53
day 8,hour 1,cam 2,arena 30,control,4,12870.17273,340.52,7159,31.9,1,10.7,3.4052,239.4314381,0.01,1.42
day 8,hour 1,cam 3,arena 31,infected,1,44747.11415,1183.93,13192,58.8,0.2,20.1,11.8393,441.2040134,0.03,2.68
