"day" "camera" "hour" "arena" "infection.status" "track" "total_distance_traveled_pixels" "time_spent_in_open" "distance_spent_in_open" "minutes.moving" "minutes.staying" "tot.distance.cm" "speed.cmxmin" "tot.distance.m" "seconds.moving" "speed.mxsec" "speed.cmxsec"
"day 6" "cam 1" "hour 1" "arena 21" "control" 4 24238.1514674349 771 1809.13072387141 3.4 56.7 641.3 188.6 6.413 206.28762541806 0.03 3.11
"day 6" "cam 2" "hour 1" "arena 22" "infected" 1 37597.4959307879 675 3726.65369542566 3 57.1 994.77 331.6 9.9477 180.602006688963 0.06 5.51
"day 6" "cam 2" "hour 1" "arena 22" "infected" 2 47807.2810060682 1347 5369.59168826088 6 54.1 1264.9 210.8 12.649 360.401337792642 0.04 3.51
"day 6" "cam 2" "hour 1" "arena 22" "control" 3 49155.2700050686 299 2068.31859614685 1.3 58.8 1300.57 1000.4 13.0057 80 0.16 16.26
"day 6" "cam 2" "hour 1" "arena 22" "control" 4 33415.3128023397 3706 10525.4228140134 16.5 43.6 884.11 53.6 8.8411 991.571906354515 0.01 0.89
"day 6" "cam 3" "hour 1" "arena 23" "infected" 1 34253.3310780744 1280 4321.65417024033 5.7 54.4 906.29 159 9.0629 342.47491638796 0.03 2.65
"day 6" "cam 3" "hour 1" "arena 23" "infected" 2 37607.591068807 962 4630.82396736737 4.3 55.9 995.03 231.4 9.9503 257.391304347826 0.04 3.87
"day 6" "cam 3" "hour 1" "arena 23" "control" 3 41248.534398789 2067 8288.79206543569 9.2 50.9 1091.37 118.6 10.9137 553.04347826087 0.02 1.97
"day 6" "cam 3" "hour 1" "arena 23" "control" 4 1057.89244429453 0 0 0 60.2 27.99 Inf 0.2799 0 Inf Inf
"day 6" "cam 4" "hour 1" "arena 24" "infected" 1 36023.8155539815 2606 8763.4950971593 11.6 48.5 953.13 82.2 9.5313 697.257525083612 0.01 1.37
"day 6" "cam 4" "hour 1" "arena 24" "infected" 2 38806.4351886604 1764 5358.75830855141 7.9 52.3 1026.75 130 10.2675 471.973244147157 0.02 2.18
"day 6" "cam 4" "hour 1" "arena 24" "control" 3 38589.8837207738 1490 6726.88848073314 6.6 53.5 1021.02 154.7 10.2102 398.66220735786 0.03 2.56
"day 6" "cam 4" "hour 1" "arena 24" "control" 4 36251.5478856524 1189 4537.74127693041 5.3 54.8 959.16 181 9.5916 318.127090301003 0.03 3.02
"day 7" "cam 1" "hour 1" "arena 25" "infected" 1 48428.0059259313 2516 8632.37436151034 11.2 48.9 1281.32 114.4 12.8132 673.177257525084 0.02 1.9
"day 7" "cam 1" "hour 1" "arena 25" "infected" 2 23687.8880446785 823 2010.36239051584 3.7 56.5 626.74 169.4 6.2674 220.200668896321 0.03 2.85
"day 7" "cam 1" "hour 1" "arena 25" "control" 3 67895.0053091017 658 4680.63403350397 2.9 57.2 1796.39 619.4 17.9639 176.053511705686 0.1 10.2
"day 7" "cam 1" "hour 1" "arena 25" "control" 4 38427.1020799477 655 4221.26767925941 2.9 57.2 1016.72 350.6 10.1672 175.250836120401 0.06 5.8
"day 7" "cam 2" "hour 1" "arena 26" "infected" 1 8485.6171115972 163 280.532465835789 0.7 59.4 224.52 320.7 2.2452 43.6120401337793 0.05 5.15
"day 7" "cam 2" "hour 1" "arena 26" "infected" 2 15653.9451698053 880 2309.70691732161 3.9 56.2 414.18 106.2 4.1418 235.451505016722 0.02 1.76
"day 7" "cam 2" "hour 1" "arena 26" "control" 3 62591.0235464857 1817 10284.2410690577 8.1 52 1656.05 204.5 16.5605 486.153846153846 0.03 3.41
"day 7" "cam 2" "hour 1" "arena 26" "control" 4 38825.3684882796 1271 6307.5331599486 5.7 54.5 1027.25 180.2 10.2725 340.066889632107 0.03 3.02
"day 7" "cam 3" "hour 1" "arena 27" "infected" 1 37421.4521447325 2657 6996.53972529128 11.8 48.3 990.11 83.9 9.9011 710.903010033445 0.01 1.39
"day 7" "cam 3" "hour 1" "arena 27" "infected" 2 29040.7427564398 1386 4645.38028158902 6.2 53.9 768.37 123.9 7.6837 370.836120401338 0.02 2.07
"day 7" "cam 3" "hour 1" "arena 27" "control" 3 29215.7283887412 688 3959.92142941245 3.1 57.1 773 249.4 7.73 184.080267558528 0.04 4.2
"day 7" "cam 3" "hour 1" "arena 27" "control" 4 42122.3122271582 1153 7919.89028608714 5.1 55 1114.49 218.5 11.1449 308.494983277592 0.04 3.61
"day 7" "cam 4" "hour 1" "arena 28" "infected" 1 17138.1161978717 7216 9845.98881870273 32.2 28 453.45 14.1 4.5345 1930.70234113712 0 0.23
"day 7" "cam 4" "hour 1" "arena 28" "infected" 2 37686.3364058871 979 4361.89365184899 4.4 55.8 997.12 226.6 9.9712 261.939799331104 0.04 3.81
"day 7" "cam 4" "hour 1" "arena 28" "control" 3 47777.2838014128 1999 10674.4799180175 8.9 51.2 1264.11 142 12.6411 534.849498327759 0.02 2.36
"day 7" "cam 4" "hour 1" "arena 28" "control" 4 24474.1390197698 666 1925.23646133489 3 57.2 647.54 215.8 6.4754 178.19397993311 0.04 3.63
"day 8" "cam 1" "hour 1" "arena 29" "infected" 1 48415.4433016278 1601 9224.6980036108 7.1 53 1280.99 180.4 12.8099 428.361204013378 0.03 2.99
"day 8" "cam 1" "hour 1" "arena 29" "infected" 2 6617.16079193246 45 467.211004802298 0.2 59.9 175.08 875.4 1.7508 12.0401337792642 0.15 14.54
"day 8" "cam 1" "hour 1" "arena 29" "control" 3 54877.8657254895 1331 7772.64194155799 5.9 54.2 1451.98 246.1 14.5198 356.120401337793 0.04 4.08
"day 8" "cam 1" "hour 1" "arena 29" "control" 4 50578.9061849158 1587 8039.22830285271 7.1 53.1 1338.23 188.5 13.3823 424.615384615385 0.03 3.15
"day 8" "cam 2" "hour 1" "arena 30" "infected" 1 35706.6591918351 754 4507.40744187498 3.4 29.8 944.74 277.9 9.4474 201.739130434783 0.05 4.68
"day 8" "cam 2" "hour 1" "arena 30" "infected" 2 15505.1796732859 2442 6189.93470804993 10.9 22.3 410.24 37.6 4.1024 653.377926421405 0.01 0.63
"day 8" "cam 2" "hour 1" "arena 30" "control" 3 32467.3979242645 958 5965.04631382863 4.3 28.9 859.03 199.8 8.5903 256.321070234114 0.03 3.35
"day 8" "cam 2" "hour 1" "arena 30" "control" 4 12870.1727277565 998 2789.74859009621 4.5 28.7 340.52 75.7 3.4052 267.023411371237 0.01 1.28
"day 8" "cam 3" "hour 1" "arena 31" "infected" 1 44747.114146337 1844 9790.22213180032 8.2 51.9 1183.93 144.4 11.8393 493.377926421405 0.02 2.4
"day 8" "cam 3" "hour 1" "arena 31" "infected" 2 86565.3202387682 2668 16098.7006115058 11.9 48.2 2290.37 192.5 22.9037 713.846153846154 0.03 3.21
"day 8" "cam 3" "hour 1" "arena 31" "control" 3 45911.0774845759 1692 7276.68454647211 7.5 52.6 1214.73 162 12.1473 452.709030100334 0.03 2.68
"day 8" "cam 3" "hour 1" "arena 31" "control" 4 41565.0057510072 737 4216.01620532723 3.3 56.9 1099.74 333.3 10.9974 197.190635451505 0.06 5.58
"day 8" "cam 4" "hour 1" "arena 32" "infected" 1 48940.5127844741 283 1414.656931864 1.3 58.2 1294.88 996.1 12.9488 75.7190635451505 0.17 17.1
"day 8" "cam 4" "hour 1" "arena 32" "infected" 2 50329.1179893713 1277 6146.19813623211 5.7 53.8 1331.62 233.6 13.3162 341.672240802676 0.04 3.9
"day 8" "cam 4" "hour 1" "arena 32" "control" 3 31355.7923882268 2203 7937.5833028649 9.8 49.7 829.62 84.7 8.2962 589.43143812709 0.01 1.41
"day 8" "cam 4" "hour 1" "arena 32" "control" 4 55333.7654013559 1680 9009.12966417254 7.5 52 1464.04 195.2 14.6404 449.498327759197 0.03 3.26
"day 1" "cam 1" "hour 2" "arena 1" "infected" 1 17766.3799356469 1380 2087.86899711578 6.2 54 470.07 75.8 4.7007 369.230769230769 0.01 1.27
"day 1" "cam 1" "hour 2" "arena 1" "infected" 2 24418.2035712891 2050 5338.45621770741 9.1 51 646.06 71 6.4606 548.494983277592 0.01 1.18
"day 1" "cam 1" "hour 2" "arena 1" "control" 3 0 0 0 0 60.1 0 0 0 0 0 0
"day 1" "cam 1" "hour 2" "arena 1" "control" 4 28234.497738884 2461 9398.29180173635 11 49.2 747.04 67.9 7.4704 658.461538461538 0.01 1.13
"day 1" "cam 2" "hour 2" "arena 2" "infected" 1 22632.4832562362 4071 8289.40749971396 18.2 42 598.82 32.9 5.9882 1089.23076923077 0.01 0.55
"day 1" "cam 2" "hour 2" "arena 2" "infected" 2 19174.710314407 301 761.159313417903 1.3 58.8 507.33 390.3 5.0733 80.5351170568562 0.06 6.3
"day 1" "cam 2" "hour 2" "arena 2" "control" 3 24350.5832838713 2987 6206.21107752804 13.3 46.8 644.28 48.4 6.4428 799.197324414716 0.01 0.81
"day 1" "cam 2" "hour 2" "arena 2" "control" 4 24663.4385169295 2874 6908.20189238931 12.8 47.3 652.55 51 6.5255 768.963210702341 0.01 0.85
"day 1" "cam 3" "hour 2" "arena 3" "infected" 1 19342.1048324125 992 2251.75329098503 4.4 55.7 511.76 116.3 5.1176 265.418060200669 0.02 1.93
"day 1" "cam 3" "hour 2" "arena 3" "infected" 2 13191.8696390109 761 573.783451101238 3.4 56.7 349.03 102.7 3.4903 203.612040133779 0.02 1.71
"day 1" "cam 3" "hour 2" "arena 3" "control" 3 0 0 0 0 60.1 0 0 0 0 0 0
"day 1" "cam 3" "hour 2" "arena 3" "control" 4 20800.2131012213 2627 5344.07867117456 11.7 48.4 550.34 47 5.5034 702.876254180602 0.01 0.78
"day 1" "cam 4" "hour 2" "arena 4" "infected" 1 885.969039616769 0 0 0 60.2 23.44 Inf 0.2344 0 Inf Inf
"day 1" "cam 4" "hour 2" "arena 4" "infected" 2 23433.6830190668 1275 3777.33079639212 5.7 54.5 620.02 108.8 6.2002 341.137123745819 0.02 1.82
"day 1" "cam 4" "hour 2" "arena 4" "control" 3 23510.2200823371 3466 8954.1902648503 15.5 44.7 622.04 40.1 6.2204 927.357859531773 0.01 0.67
"day 1" "cam 4" "hour 2" "arena 4" "control" 4 28227.1540517271 1618 4293.35241711088 7.2 52.9 746.84 103.7 7.4684 432.909698996656 0.02 1.73
"day 2" "cam 1" "hour 2" "arena 5" "infected" 1 7440.26166340987 333 1475.10005854356 1.5 58.7 196.86 131.2 1.9686 89.0969899665552 0.02 2.21
"day 2" "cam 1" "hour 2" "arena 5" "infected" 2 26673.5759063696 1971 6552.55660066217 8.8 51.4 705.74 80.2 7.0574 527.357859531773 0.01 1.34
"day 2" "cam 1" "hour 2" "arena 5" "control" 3 24273.4471034362 3323 7074.13560441904 14.8 45.3 642.23 43.4 6.4223 889.096989966555 0.01 0.72
"day 2" "cam 1" "hour 2" "arena 5" "control" 4 39937.6993093138 1421 8731.09483927303 6.3 53.8 1056.68 167.7 10.5668 380.200668896321 0.03 2.78
"day 2" "cam 2" "hour 2" "arena 6" "infected" 1 25294.8147298177 3056 7363.81826013445 13.6 46.5 669.26 49.2 6.6926 817.658862876254 0.01 0.82
"day 2" "cam 2" "hour 2" "arena 6" "infected" 2 0 0 0 0 60.1 0 0 0 0 0 0
"day 2" "cam 2" "hour 2" "arena 6" "control" 3 15166.8291344068 7812 8651.37155900115 34.8 25.3 401.29 11.5 4.0129 2090.16722408027 0 0.19
"day 2" "cam 2" "hour 2" "arena 6" "control" 4 23834.6291429663 2668 5741.83989624583 11.9 48.2 630.62 53 6.3062 713.846153846154 0.01 0.88
"day 2" "cam 3" "hour 2" "arena 7" "infected" 1 24814.8669099855 952 1852.3648422222 4.2 55.9 656.56 156.3 6.5656 254.715719063545 0.03 2.58
"day 2" "cam 3" "hour 2" "arena 7" "infected" 2 14233.2418025997 206 948.224054631173 0.9 59.2 376.59 418.4 3.7659 55.1170568561873 0.07 6.83
"day 2" "cam 3" "hour 2" "arena 7" "control" 3 30214.9279924037 1382 5726.62381075329 6.2 54 799.44 128.9 7.9944 369.765886287625 0.02 2.16
"day 2" "cam 3" "hour 2" "arena 7" "control" 4 12875.6209105962 3697 4120.18006548791 16.5 43.7 340.67 20.6 3.4067 989.163879598662 0 0.34
"day 2" "cam 4" "hour 2" "arena 8" "infected" 1 19108.899525516 6463 8947.12047982375 28.8 31.3 505.59 17.6 5.0559 1729.23076923077 0 0.29
"day 2" "cam 4" "hour 2" "arena 8" "infected" 2 26867.319629818 3437 8407.69384153386 15.3 44.8 710.86 46.5 7.1086 919.598662207358 0.01 0.77
"day 2" "cam 4" "hour 2" "arena 8" "control" 3 25710.2373875225 1649 4568.68165014458 7.4 52.8 680.25 91.9 6.8025 441.204013377926 0.02 1.54
"day 2" "cam 4" "hour 2" "arena 8" "control" 4 15853.4027145255 4650 5684.10135219352 20.7 39.4 419.45 20.3 4.1945 1244.14715719064 0 0.34
"day 3" "cam 1" "hour 2" "arena 9" "infected" 1 25732.667531035 3082 7157.37295767577 13.7 46.4 680.84 49.7 6.8084 824.615384615385 0.01 0.83
"day 3" "cam 1" "hour 2" "arena 9" "infected" 2 27937.5504608039 4009 9918.75456655504 17.9 42.3 739.18 41.3 7.3918 1072.64214046823 0.01 0.69
"day 3" "cam 1" "hour 2" "arena 9" "control" 3 8132.30749261918 1930 3028.81942156556 8.6 51.5 215.17 25 2.1517 516.387959866221 0 0.42
