"","idnum","HComp.1","HComp.2","HComp.3","HComp.4","infected","trial","mouseidnum","lifespan","egg_total","hatch_total","avmaxtemp","avmintemp","avmaxhum","avminhum","havmaxtemp","havmintemp","havmaxhum","havminhum","PC1","PC2","PC3","PC4","TPC1","TPC2","TPC3","TPC4","TPC4.1"
"110",110,1.69419639355974,0.224721031550287,0.303817757503046,0.0536808217433544,1,1,7,4,19,12,28.7111111111111,27.2888888888889,32,27.2222222222222,28.6692307692308,27.0923076923077,30.6923076923077,26.2307692307692,1.81998536700698,-0.117473958243503,-0.395742030325282,-0.0156769847704232,1.77053769362875,-0.462378208320404,-0.166695662148613,0.360933503245987,-0.00723486950937206
"111",111,NA,NA,NA,NA,1,1,7,2,0,0,28.8,27.08,30.8,26.2,NA,NA,NA,NA,1.93868551497441,0.130611464106051,-0.223332380720837,0.0598875805847311,1.9121562707954,-0.317369261990852,0.0748061394980851,0.287422393491901,-0.0863599183478756
"112",112,-1.70430932015381,-0.833925419961381,0.158790162203672,0.0855336340727646,1,1,7,35,188,140,27.2823170731707,25.7103658536585,48.5914634146341,37.6707317073171,27.5733333333333,25.9619047619048,46.7904761904762,38.3809523809524,-1.74048285417208,-0.52743659677797,-0.0540504359278378,-0.135249618854584,-1.68519029163477,0.177542076344631,-0.616387309198429,-0.260785735587666,0.181822823542981
"113",113,1.62301791021673,-0.250783297437324,0.540340811517129,-0.0344566554697517,1,1,7,5,27,19,28.6863636363636,27.1181818181818,32.1363636363636,27.0909090909091,28.675,27.5,32.3333333333333,27.75,1.72732017933819,-0.00346410710548639,-0.297581373874596,0.00454683829996672,1.69468054384755,-0.357107830108606,-0.0614142169400118,0.303263970447902,-0.0268175975234057
"114",114,1.09062840970547,-0.873601731399692,0.59122003442304,-0.111152177351963,1,1,7,9,1,0,29.1609756097561,27.0292682926829,33.8292682926829,27.219512195122,28.65,27.65,36.5,30.75,1.80237102821652,-0.276982512692836,0.161604611175488,0.0237073559023736,1.73193568137955,-0.586167491616999,0.00258224952922119,-0.179866969519855,-0.0095979652373692
"115",115,1.52854036852837,-0.403890854730913,-0.28415030279723,-0.000475035912791966,1,1,7,9,45,21,29.0794871794872,26.8615384615385,34.8205128205128,27.5897435897436,29.2774193548387,27.0129032258065,34.8064516129032,27.5483870967742,1.57844626964294,-0.237085416229575,0.23906390872145,0.0115781335640558,1.52195137098957,-0.499501904400632,0.0409293578686413,-0.247255858677396,0.00668205017679088
"116",116,1.47481012941055,-0.204504791462379,-0.156539522276439,0.037176279242859,1,1,8,14,36,26,28.9409836065574,26.9688524590164,34.9180327868852,27.8360655737705,29.0767441860465,26.9441860465116,33.9302325581395,27.4186046511628,1.52945799278339,-0.266178868256715,0.0721061714856863,-0.0382333078843665,1.47259302403746,-0.503980110539986,-0.0601022154396441,-0.109001708907226,0.0493957068299855
"117",117,-0.508215360946997,-0.614400024513832,0.122182363222261,0.0466823786951353,1,1,8,28,220,157,27.5038167938931,25.906106870229,48.6717557251908,39.4580152671756,28.0855555555556,26.3988888888889,41.9222222222222,34.3333333333333,-1.69072025323753,-0.910298013428621,-0.0821060109436406,0.0577222795946351,-1.68199416952018,-0.112505379092446,-0.862663257203124,-0.367384399751545,0.00594903265062537
"118",118,1.63225031281547,-0.145610710961018,0.205752917562342,0.0615271062766758,1,1,8,7,40,30,28.88125,27.11875,32.40625,27.4375,28.8838709677419,27.2064516129032,32.258064516129,27.3548387096774,1.78046849550361,-0.139052663815891,-0.162333870537622,0.0710592205915843,1.72897183490442,-0.47258723045045,-0.0748721552524105,0.140779558390502,-0.0800256755576892
"119",119,1.83023697154728,-0.143481600820921,0.179578142310434,0.0599652510592487,1,1,8,8,30,14,28.9555555555556,27.2444444444444,32.2777777777778,27.3055555555556,29,27.2838709677419,31.5806451612903,26.7741935483871,1.89953880156909,-0.225138982091592,-0.188178897883504,0.0470680749155534,1.83293724486822,-0.566252351919599,-0.125605141471047,0.14567690843498,-0.0544845104851705
