"","idnum","threeperiod","infected","eggs.sums","hatch.sums","alive.sums"
"420",77,3,0,0,0,1
"421",78,1,0,0,0,1
"422",79,1,0,13,12,3
"423",79,2,0,2,1,3
"424",79,3,0,1,0,3
"425",79,4,0,0,0,2
"426",80,1,0,20,17,3
"427",80,2,0,23,17,3
"428",80,3,0,27,15,3
"429",80,4,0,6,5,3
"430",80,5,0,7,4,3
"431",80,6,0,2,0,3
"432",81,1,0,10,10,3
"433",81,2,0,9,8,3
"434",81,3,0,6,5,3
"435",81,4,0,0,0,3
"436",81,5,0,0,0,1
"437",82,1,0,6,6,3
"438",82,2,0,0,0,1
"439",83,1,0,22,10,3
"440",83,2,0,17,8,3
"441",83,3,0,5,0,3
"442",83,4,0,1,0,3
"443",83,5,0,0,0,3
"444",83,6,0,0,0,1
"445",84,1,0,34,29,3
"446",84,2,0,9,4,2
"447",85,1,0,10,7,3
"448",85,2,0,10,6,3
"449",86,1,0,8,2,3
"450",86,2,0,25,17,3
"451",86,3,0,14,9,3
"452",86,4,0,5,3,3
"453",86,5,0,0,0,3
"454",86,6,0,0,0,1
"455",87,1,0,0,0,3
"456",87,2,0,11,10,3
"457",87,3,0,2,2,2
"458",88,1,0,0,0,2
"459",89,1,0,3,0,3
"460",89,2,0,2,1,3
"461",89,3,0,0,0,3
"462",89,4,0,0,0,2
"463",90,1,0,8,5,3
"464",90,2,0,0,0,3
"465",91,1,0,7,4,3
"466",91,2,0,0,0,1
"467",92,1,0,30,9,3
"468",92,2,0,13,7,3
"469",93,1,0,0,0,2
"470",94,1,0,20,0,3
"471",94,2,0,7,1,3
"472",94,3,0,0,0,1
"473",95,1,0,26,26,3
"474",95,2,0,12,12,2
"475",96,1,0,0,0,3
"476",96,2,0,0,0,2
"477",97,1,0,0,0,1
"478",98,1,0,16,15,3
"479",99,1,0,5,4,3
"480",99,2,0,26,14,3
"481",99,3,0,15,13,3
"482",99,4,0,3,1,3
"483",99,5,0,0,0,1
"484",100,1,1,8,0,3
"485",100,2,1,0,0,2
"486",101,1,1,18,16,3
"487",101,2,1,13,11,3
"488",101,3,1,19,12,3
"489",101,4,1,15,11,3
"490",101,5,1,0,0,1
"491",102,1,1,0,0,3
"492",102,2,1,5,2,3
"493",102,3,1,7,4,3
"494",102,4,1,0,0,3
"495",102,5,1,0,0,3
"496",102,6,1,0,0,3
"497",102,7,1,0,0,2
"498",103,1,1,5,4,3
"499",103,2,1,2,2,3
"500",103,3,1,0,0,3
"501",103,4,1,0,0,2
"502",104,1,1,13,9,3
"503",104,2,1,19,6,3
"504",104,3,1,2,0,3
"505",104,4,1,0,0,3
"506",104,5,1,0,0,3
"507",104,6,1,0,0,3
"508",104,7,1,0,0,1
"509",105,1,1,20,18,3
"510",105,2,1,14,13,3
"511",105,3,1,25,18,3
"512",105,4,1,20,15,3
"513",105,5,1,7,3,3
"514",105,6,1,0,0,3
"515",105,7,1,0,0,3
"516",105,8,1,0,0,3
"517",106,1,1,1,0,3
"518",107,1,1,3,2,3
"519",107,2,1,2,1,3
"520",107,3,1,1,0,3
"521",107,4,1,0,0,2
"522",108,1,1,9,6,2
"523",109,1,1,16,15,3
"524",109,2,1,17,11,3
"525",109,3,1,0,0,3
"526",109,4,1,0,0,1
"527",110,1,1,19,12,3
"528",110,2,1,0,0,1
"529",111,1,1,0,0,2
"530",112,1,1,17,9,3
"531",112,2,1,32,31,3
"532",112,3,1,34,29,3
"533",112,4,1,37,30,3
"534",112,5,1,26,21,3
"535",112,6,1,23,13,3
"536",112,7,1,16,7,3
"537",112,8,1,3,0,3
"538",112,9,1,0,0,3
"539",112,10,1,0,0,3
"540",112,11,1,0,0,3
"541",112,12,1,0,0,2
"542",113,1,1,26,18,3
"543",113,2,1,1,1,2
"544",114,1,1,0,0,3
"545",114,2,1,1,0,3
"546",114,3,1,0,0,3
"547",115,1,1,17,8,3
"548",115,2,1,16,8,3
"549",115,3,1,12,5,3
"550",116,1,1,9,7,3
"551",116,2,1,16,13,3
"552",116,3,1,7,3,3
"553",116,4,1,4,3,3
"554",116,5,1,0,0,2
"555",117,1,1,31,27,3
"556",117,2,1,24,16,3
"557",117,3,1,36,25,3
"558",117,4,1,45,36,3
"559",117,5,1,32,17,3
"560",117,6,1,36,23,3
"561",117,7,1,16,13,3
"562",117,8,1,0,0,3
"563",117,9,1,0,0,3
"564",117,10,1,0,0,1
"565",118,1,1,18,10,3
"566",118,2,1,21,20,3
"567",118,3,1,1,0,1
"568",119,1,1,22,10,3
"569",119,2,1,5,1,3
"570",119,3,1,3,3,2
"571",120,1,1,22,17,3
"572",120,2,1,35,27,3
"573",120,3,1,0,0,1
"574",121,1,1,9,6,3
"575",121,2,1,6,5,3
"576",121,3,1,0,0,1
"577",122,1,1,5,4,3
"578",122,2,1,8,3,3
"579",123,1,1,11,8,3
"580",123,2,1,16,16,3
"581",123,3,1,7,5,3
"582",123,4,1,9,5,3
"583",123,5,1,0,0,2
"584",124,1,1,9,8,3
"585",124,2,1,12,3,3
"586",124,3,1,1,0,2
"587",125,1,1,22,21,3
"588",125,2,1,15,10,2
"589",126,1,1,6,3,3
"590",127,1,1,30,26,3
"591",127,2,1,33,28,3
"592",127,3,1,39,39,3
"593",127,4,1,31,24,3
"594",127,5,1,31,25,3
"595",127,6,1,31,27,3
"596",127,7,1,25,17,3
"597",127,8,1,25,22,3
"598",127,9,1,12,0,3
"599",127,10,1,0,0,3
"600",127,11,1,0,0,3
"601",128,1,1,17,13,3
"602",129,1,1,19,10,3
"603",129,2,1,12,2,3
"604",129,3,1,19,11,3
"605",129,4,1,3,0,3
"606",129,5,1,1,0,1
"607",130,1,1,17,8,3
"608",130,2,1,17,4,3
"609",130,3,1,15,7,3
"610",130,4,1,9,3,3
"611",130,5,1,2,0,3
"612",130,6,1,2,0,3
"613",130,7,1,0,0,2
"614",131,1,1,21,7,3
"615",131,2,1,28,4,3
"616",131,3,1,13,0,3
"617",131,4,1,17,5,3
"618",131,5,1,8,0,3
"619",131,6,1,0,0,2
"620",132,1,1,0,0,3
"621",132,2,1,3,0,3
"622",132,3,1,0,0,3
"623",132,4,1,0,0,3
"624",132,5,1,0,0,3
"625",132,6,1,0,0,3
"626",132,7,1,0,0,3
"627",133,1,1,14,10,3
"628",133,2,1,11,8,3
"629",133,3,1,0,0,2
"630",134,1,1,13,7,3
"631",134,2,1,19,15,3
"632",134,3,1,25,8,3
"633",134,4,1,26,14,3
"634",134,5,1,4,1,3
"635",134,6,1,0,0,3
"636",134,7,1,0,0,1
"637",135,1,0,0,0,3
"638",135,2,0,7,5,3
"639",135,3,0,11,5,3
"640",135,4,0,0,0,3
"641",135,5,0,0,0,3
"642",136,1,0,6,0,3
"643",136,2,0,16,8,3
"644",136,3,0,11,6,3
"645",136,4,0,3,0,3
"646",136,5,0,11,1,3
"647",136,6,0,0,0,2
"648",137,1,0,8,2,3
"649",137,2,0,9,5,1
"650",138,1,0,19,11,3
"651",138,2,0,18,11,3
"652",138,3,0,16,12,3
"653",138,4,0,27,17,3
"654",138,5,0,26,14,3
"655",138,6,0,33,10,3
"656",138,7,0,20,9,3
"657",138,8,0,12,4,2
"658",139,1,0,1,1,3
"659",139,2,0,8,7,3
"660",139,3,0,15,11,3
"661",139,4,0,12,7,3
"662",139,5,0,26,19,3
"663",139,6,0,18,15,3
"664",139,7,0,7,2,3
"665",139,8,0,0,0,3
"666",139,9,0,4,1,1
"667",140,1,0,4,3,3
"668",140,2,0,8,7,3
"669",140,3,0,14,10,3
"670",140,4,0,18,10,3
"671",140,5,0,13,8,3
"672",140,6,0,6,3,2
"673",141,1,0,3,3,3
"674",141,2,0,1,0,3
"675",141,3,0,21,14,3
"676",141,4,0,18,6,3
"677",141,5,0,1,1,1
"678",142,1,0,1,0,3
"679",142,2,0,0,0,3
"680",142,3,0,0,0,3
"681",142,4,0,0,0,3
"682",142,5,0,0,0,3
"683",142,6,0,0,0,1
"684",143,1,0,2,2,3
"685",143,2,0,0,0,1
"686",144,1,0,11,8,3
"687",144,2,0,15,13,3
"688",144,3,0,31,26,3
"689",144,4,0,27,27,3
"690",144,5,0,6,5,3
"691",144,6,0,0,0,3
"692",144,7,0,0,0,3
"693",144,8,0,0,0,3
"694",145,1,0,15,11,3
"695",145,2,0,26,26,3
"696",145,3,0,27,26,3
"697",145,4,0,21,18,3
"698",145,5,0,0,0,3
"699",145,6,0,0,0,3
"700",145,7,0,0,0,2
"701",146,1,0,13,12,3
"702",146,2,0,28,22,3
"703",146,3,0,25,23,3
"704",146,4,0,29,20,3
"705",146,5,0,17,5,3
"706",146,6,0,3,1,3
"707",146,7,0,0,0,3
"708",146,8,0,0,0,3
"709",146,9,0,0,0,2
"710",147,1,0,2,2,3
"711",147,2,0,12,8,3
"712",147,3,0,1,0,3
"713",147,4,0,0,0,2
"714",148,1,0,0,0,3
"715",148,2,0,0,0,3
"716",149,1,1,18,14,3
"717",149,2,1,9,9,3
"718",149,3,1,4,3,3
"719",149,4,1,3,2,3
"720",149,5,1,1,1,1
"721",150,1,1,7,4,3
"722",150,2,1,14,10,3
"723",150,3,1,11,6,3
"724",150,4,1,5,4,3
"725",150,5,1,6,2,3
"726",150,6,1,11,9,3
"727",150,7,1,2,0,3
"728",150,8,1,0,0,3
"729",151,1,1,14,12,3
"730",151,2,1,11,9,3
"731",151,3,1,3,3,3
"732",151,4,1,10,9,3
"733",151,5,1,5,4,3
"734",151,6,1,17,12,3
"735",151,7,1,13,7,3
"736",151,8,1,6,3,3
"737",151,9,1,0,0,3
"738",152,1,1,10,10,3
"739",152,2,1,14,10,3
"740",153,1,1,14,13,3
"741",153,2,1,9,8,3
"742",153,3,1,7,7,3
"743",153,4,1,6,5,3
"744",153,5,1,16,9,3
"745",153,6,1,2,2,3
"746",153,7,1,0,0,2
"747",154,1,1,0,0,3
"748",154,2,1,14,9,3
"749",154,3,1,19,9,3
"750",154,4,1,7,4,3
"751",154,5,1,18,10,3
"752",154,6,1,20,8,3
"753",154,7,1,19,8,3
"754",154,8,1,24,13,3
"755",154,9,1,6,2,1
"756",155,1,1,0,0,3
"757",155,2,1,10,10,3
"758",155,3,1,20,19,3
"759",155,4,1,6,4,3
"760",155,5,1,19,17,3
"761",155,6,1,6,4,3
"762",155,7,1,1,0,1
"763",156,1,1,3,3,3
"764",156,2,1,16,10,3
"765",156,3,1,16,14,3
"766",156,4,1,0,0,1
"767",157,1,1,0,0,3
"768",157,2,1,16,7,3
"769",157,3,1,4,4,3
"770",157,4,1,0,0,3
"771",157,5,1,23,11,3
"772",157,6,1,24,19,3
"773",157,7,1,17,3,3
"774",157,8,1,0,0,3
"775",158,1,1,2,2,3
"776",158,2,1,26,18,3
"777",158,3,1,12,6,3
"778",158,4,1,5,3,2
"779",160,1,1,26,21,3
"780",160,2,1,8,7,3
"781",160,3,1,2,2,1
"782",161,1,1,10,9,3
"783",161,2,1,17,16,3
"784",161,3,1,21,20,3
"785",161,4,1,24,22,3
"786",161,5,1,23,20,3
"787",161,6,1,12,9,3
"788",161,7,1,1,1,3
"789",161,8,1,0,0,3
"790",161,9,1,0,0,2
"791",162,1,1,14,14,3
"792",162,2,1,9,7,3
"793",162,3,1,37,32,3
"794",162,4,1,37,32,3
"795",162,5,1,34,32,3
"796",162,6,1,31,27,3
"797",162,7,1,3,0,3
"798",162,8,1,0,0,3
"799",162,9,1,0,0,2
"800",163,1,1,17,13,3
"801",163,2,1,17,16,3
"802",163,3,1,27,24,3
"803",163,4,1,22,18,3
"804",163,5,1,6,2,2
"805",164,1,1,27,16,3
"806",164,2,1,13,8,3
"807",164,3,1,22,11,3
"808",164,4,1,13,0,3
"809",164,5,1,18,1,3
"810",164,6,1,6,1,3
"811",164,7,1,0,0,3
"812",164,8,1,0,0,1
"813",165,1,1,33,24,3
"814",165,2,1,33,30,3
"815",165,3,1,36,28,3
"816",165,4,1,6,3,3
"817",165,5,1,0,0,2
"818",166,1,1,21,20,3
"819",166,2,1,33,29,3
"820",166,3,1,39,32,3
"821",166,4,1,28,25,3
"822",166,5,1,19,13,3
"823",166,6,1,24,13,3
"824",166,7,1,24,21,3
"825",166,8,1,19,18,3
"826",166,9,1,4,3,3
"827",166,10,1,0,0,1
"828",167,1,1,0,0,3
"829",167,2,1,17,10,3
"830",167,3,1,13,9,3
"831",167,4,1,14,12,3
"832",167,5,1,7,3,3
"833",167,6,1,26,16,3
"834",167,7,1,6,3,3
"835",167,8,1,23,6,3
"836",167,9,1,0,0,3
"837",168,1,1,3,0,3
"838",168,2,1,5,4,3
"839",168,3,1,22,20,3
"840",168,4,1,14,12,3
"841",168,5,1,5,5,3
"842",168,6,1,9,7,3
"843",168,7,1,17,8,3
"844",168,8,1,29,22,3
"845",168,9,1,18,9,3
"846",168,10,1,5,0,3
"847",169,1,1,7,4,3
"848",169,2,1,5,1,3
"849",170,1,1,0,0,3
"850",170,2,1,2,1,3
"851",170,3,1,6,4,2
"852",171,1,1,4,1,3
"853",171,2,1,19,15,3
"854",171,3,1,0,0,3
"855",171,4,1,2,1,3
"856",171,5,1,8,4,3
"857",172,1,1,0,0,3
"858",173,1,1,0,0,3
"859",173,2,1,6,6,3
"860",173,3,1,8,6,3
"861",173,4,1,9,7,3
"862",173,5,1,23,17,3
"863",173,6,1,19,16,3
"864",173,7,1,7,6,2
"865",174,1,1,0,0,3
"866",174,2,1,16,13,3
"867",174,3,1,17,13,3
"868",174,4,1,18,10,3
"869",174,5,1,19,9,3
"870",174,6,1,15,11,3
"871",174,7,1,9,4,3
"872",174,8,1,0,0,2
"873",175,1,1,1,1,3
"874",175,2,1,6,4,3
"875",176,1,1,0,0,2
"876",177,1,1,4,4,3
"877",177,2,1,9,6,3
"878",177,3,1,23,22,3
"879",177,4,1,19,18,3
"880",177,5,1,7,6,3
"881",177,6,1,0,0,3
"882",177,7,1,0,0,3
"883",177,8,1,0,0,3
