"","idnum","id","parents","infected","start","week","date","eggs","hatch","alive","mouse","procedencia","trial","perferc","avtemphigh","avtemplow","avtemp","tempmax","tempmin","tempdiff","avhumhigh","avhumlow","avhum","hummax","hummin","humdiff","eggevent","hatchevent","egg_total","hatch_total","mouseidnum","lifespan","avtemp_total","avlowtemp_total","avhightemp_total","avhum_total","avlowhum_total","avhighhum_total","hightemp_total","highhum_total","lowtemp_total","lowhum_total","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"31",31,"P31-2","P31","1",2014-11-20,"1",2014-11-27,0,NA,1,"I-A-2","I-A",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,38,32,3,15,26.9997222222222,26.1016666666667,27.8977777777778,41.2788888888889,36.9422222222222,45.6155555555556,36.3,68,22.6,26,-59.2387508877039,-3.89516980845224,-0.193536687561035,0.028374524049652,-0.716654609735759,0.469382628235596,0.0846232906859148,2.03032525663205e-15,-1.33679530682598e-13
"32",32,"P32-2","P32","1",2014-11-20,"1",2014-11-27,0,NA,1,"I-A-2","I-A",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,1,1,3,4,28.21875,27.07125,29.36625,30.49375,27.35,33.6375,35.5,40,23.1,26,-53.8420259398374,29.0855515865354,3.28076180234872,2.45338601150637,1.66306615889057,1.70939263921856,0.231401231226247,1.85889547242211e-14,-1.860065969737e-13
"33",33,"P33-2","P33","1",2014-11-27,"1",2014-12-04,0,NA,1,"I-A-2","I-A",2,NA,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,0,NA,183,107,3,24,26.4560763888889,25.6545833333333,27.2575694444444,47.4409722222222,41.7284722222222,53.1534722222222,36.3,72,22.6,26,-58.9986686427158,-12.6694121730938,-7.96390121937953,0.028177973840454,-0.0886897200835174,-0.412159989911092,-0.0151660279878574,7.13670138365653e-16,3.68394501972326e-14
"34",34,"P34-2","P34","1",2014-11-27,"1",2014-12-04,7,3,1,"I-A-2","I-A",2,0.428571428571429,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,193,116,3,30,26.3005277777778,25.4983333333333,27.1027222222222,45.0094444444444,38.9561111111111,51.0627777777778,36.3,72,22.3,22,-57.4444904858307,-10.9520567580743,-4.44839719282146,-0.574387051744591,0.79078329113836,-0.048180391585531,-0.237241147217709,2.9618717632316e-15,2.22980483339972e-13
"35",35,"P35-2","P35","1",2014-11-27,"1",2014-12-04,3,2,1,"I-A-2","I-A",2,0.666666666666667,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,29,20,3,14,26.9447023809524,26.0589285714286,27.8304761904762,42.2130952380952,37.7095238095238,46.7166666666667,36.3,68,22.6,26,-55.5116238815845,-5.15625720606997,-1.95030490796098,0.306043957652322,-0.602733431661666,0.310773847211525,0.0905663695154615,-7.9033511530624e-16,-1.16918198776841e-13
"36",36,"P36-2","P36","1",2014-11-27,"1",2014-12-04,6,3,1,"I-A-2","I-A",2,0.5,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,42,29,3,5,27.9776666666667,26.597,29.3583333333333,33.6216666666667,28.5066666666667,38.7366666666667,36.3,68,23.1,26,-52.525246474391,1.49907632345406,11.0490283049725,-0.703295037009771,1.14385548676211,-0.462743342645472,0.209993038195744,-2.00464154849e-15,-7.52696565229825e-14
"37",37,"P37-2","P37","1",2014-11-27,"1",2014-12-04,4,3,1,"I-A-2","I-A",2,0.75,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,35,32,3,5,27.9776666666667,26.597,29.3583333333333,33.6216666666667,28.5066666666667,38.7366666666667,36.3,68,23.1,26,-51.5377314369825,1.37333444409053,10.9656017534903,-0.659404071393159,1.14910244070245,-0.472074880658166,0.211412962067045,-2.00464154849e-15,-7.52696565229825e-14
"38",38,"P38-2","P38","1",2014-11-27,"1",2014-12-04,2,1,1,"I-A-2","I-A",2,0.5,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,154,90,3,26,26.4290705128205,25.6326923076923,27.2254487179487,46.6262820512821,40.6955128205128,52.5570512820513,36.3,72,22.6,24,-53.8737270037171,-12.6897493320817,-7.1763080856907,0.0261265684666396,0.351442900157174,-0.423737490113251,-0.110481797458438,3.52847655362477e-16,1.30894422341219e-13
"39",39,"P39-2","P39","1",2014-11-27,"1",2014-12-04,5,5,1,"I-A-2","I-A",2,1,29.56,28.14,28.85,29.8,27.4,2.1,31.2,26,28.6,33,26,7,1,1,76,69,3,12,27.1454861111111,26.1970833333333,28.0938888888889,39.5986111111111,35.0277777777778,44.1694444444444,36.3,68,22.6,26,-50.9496024111858,-3.59539202277721,1.67838515365876,0.110330119965464,-0.172742361971418,0.272768341146694,0.0269664655901686,-9.81804483914939e-17,-4.90718625887807e-14
"40",40,"P40-2","P40","1",2014-12-04,"1",2014-12-11,3,0,1,"I-A-2","I-A",2,0,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,0,12,9,3,4,27.7595833333333,26.21125,29.3079166666667,34.8770833333333,29.1333333333333,40.6208333333333,36.3,68,23.1,26,-48.8818876410416,-0.0903575113254087,8.75728235053765,-0.588741068019643,1.90955827789684,-0.654545145988597,0.380571634757697,-4.05226503639389e-16,-1.38751428445485e-13
"41",41,"P41-2","P41","1",2014-12-04,"1",2014-12-11,8,8,1,"I-A-2","I-A",2,1,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,135,107,3,21,26.3220634920635,25.5038095238095,27.1403174603175,48.4230158730159,42.9444444444444,53.9015873015873,36.3,72,22.6,26,-51.3233092929703,-14.4334250559646,-10.1180910176121,0.521605847990838,-0.433009753747092,-0.294336752058914,0.118207964125028,-6.46353066800163e-16,-8.68116391703942e-14
"42",42,"P42-2","P42","1",2014-12-04,"1",2014-12-11,10,5,1,"I-A-2","I-A",2,0.5,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,24,6,3,4,27.7595833333333,26.21125,29.3079166666667,34.8770833333333,29.1333333333333,40.6208333333333,36.3,68,23.1,26,-46.9068575662245,-0.341841270052466,8.59042924757324,-0.500959136786422,1.92005218577751,-0.673208222013986,0.383411482500298,-4.05226503639389e-16,-1.38751428445485e-13
"43",43,"P43-2","P43","1",2014-12-04,"1",2014-12-11,5,2,1,"I-A-2","I-A",2,0.4,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,171,114,3,27,26.2746604938272,25.4692592592593,27.0800617283951,46.4253086419753,40.2771604938272,52.5734567901235,36.3,72,22.6,24,-48.8919154551292,-13.2067168459572,-7.33474974569506,0.0500086091672083,0.755967143687888,-0.322912962515465,-0.157247561601546,2.46227140215027e-15,1.87618145282185e-13
"44",44,"P44-2","P44","1",2014-12-04,"1",2014-12-11,6,6,1,"I-A-2","I-A",2,1,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,1,1,176,101,3,25,26.3322333333333,25.5324,27.1320666666667,47.3473333333333,41.2833333333333,53.4113333333333,36.3,72,22.6,24,-48.1202326483675,-14.0368679347618,-8.7859094444573,0.328325212971512,0.486889363267689,-0.494314971222531,-0.0879292636913288,9.63470318906314e-16,1.2921694473995e-13
"45",45,"P45-2","P45","1",2014-12-04,"1",2014-12-11,0,NA,1,"I-A-2","I-A",2,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,10,7,3,6,27.7893055555556,26.5675,29.0111111111111,34.1138888888889,28.7222222222222,39.5055555555556,36.3,68,23.1,26,-43.7575504345072,-0.0738145498246672,9.5006630913328,-0.402765297343223,1.51892621680344,-0.463831765156815,-0.0388818768772024,4.10093530069711e-16,1.35795883522592e-13
"46",46,"P46-2","P46","1",2014-12-04,"1",2014-12-11,0,NA,1,"I-A-2","I-A",2,NA,29.725,28.025,28.875,30.2,27.4,2,35.75,29,32.375,37,27,8,0,NA,26,16,3,10,27.0925833333333,26.0925,28.0926666666667,39.0983333333333,34.3933333333333,43.8033333333333,36.3,68,22.6,26,-43.9215449625075,-4.10698999711,1.82876962726519,0.253655035664284,0.145916866973795,0.282270668069315,0.0483514136531914,1.15949407169169e-15,-4.92837156932844e-14
"47",47,"P47-2","P47","1",2014-12-11,"1",2014-12-18,5,4,1,"I-A-2","I-A",2,0.8,29.34,25.42,27.38,35.5,23.1,12.4,37.4,28.2,32.8,40,26,11,1,1,115,103,3,24,26.2262847222222,25.4285416666667,27.0240277777778,47.9711805555556,41.7951388888889,54.1472222222222,36.3,72,22.6,24,-45.3058553715361,-14.9292672137815,-10.0001362468889,0.478837457518272,0.597088614488407,-0.499975787138597,-0.0793100743042712,1.40755952875638e-15,1.29850118808681e-13
"48",48,"P48-2","P48","1",2014-11-20,"1",2014-11-27,0,NA,1,"I-B-2","I-B",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,131,97,4,20,26.4182916666667,25.58425,27.2523333333333,46.0741666666667,41.3066666666667,50.8416666666667,36.3,72,22.6,26,-43.8435051695507,-13.3780584244161,-7.11639209310541,0.607017294854935,-0.98750394389844,0.155610981147217,0.164297586470237,-1.00717554980334e-15,-1.84327384648954e-13
"49",49,"P49-2","P49","1",2014-11-20,"1",2014-11-27,7,7,1,"I-B-2","I-B",2,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,191,139,4,26,26.4936858974359,25.6834615384615,27.3039102564103,46.3224358974359,40.6108974358974,52.0339743589744,36.3,72,22.6,26,-42.9354890415477,-13.8008142536794,-7.61207690038062,0.544671386475736,0.14953143102973,-0.47401676961836,-0.044102740406542,-1.18997130103214e-16,7.99802883212998e-14
"50",50,"P50-2","P50","1",2014-11-20,"1",2014-11-27,2,2,1,"I-B-2","I-B",2,1,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,1,1,123,98,4,18,26.5836574074074,25.7247222222222,27.4425925925926,44.7157407407407,40.2185185185185,49.212962962963,36.3,70,22.6,26,-41.4143833308067,-10.7798015859102,-6.11282029825775,0.899385213025544,-0.971782520443808,0.296875842417027,0.194797171464049,-1.57529748818575e-15,-2.11939845577815e-13
"51",51,"P51-2","P51","1",2014-11-20,"1",2014-11-27,0,NA,1,"I-B-2","I-B",2,NA,28.84,26.7,27.77,29.8,25.3,3.1,30.2,26.2,28.2,31,26,5,0,NA,68,58,4,10,27.6605833333333,26.6145,28.7066666666667,33.7983333333333,29.2933333333333,38.3033333333333,36.3,68,23.1,26,-37.7378939684045,-0.49091296802703,9.49271116827403,-0.0884453414422133,0.483158542845687,0.164105153192853,-0.118452824901688,-8.38907372633591e-16,9.94430183600216e-14
