"","treatment","day","paint","days.after.paint","exp.time","alive","dead","knockdown","unviable","living","total","prop.alive","prop.dead","prop.kd","prop.uv","prop.liv","pch","lty"
"128","24H-CF-180",7,"CF",180,"24H",20,21,4,25,24,45,0.444444444444444,0.466666666666667,0.0888888888888889,0.555555555555556,0.533333333333333,17,4
"129","24H-CF-180",14,"CF",180,"24H",5,37,3,40,8,45,0.111111111111111,0.822222222222222,0.0666666666666667,0.888888888888889,0.177777777777778,17,4
"130","24H-CF-180",21,"CF",180,"24H",1,43,1,44,2,45,0.0222222222222222,0.955555555555556,0.0222222222222222,0.977777777777778,0.0444444444444444,17,4
"131","24H-CF-180",28,"CF",180,"24H",0,45,0,45,0,45,0,1,0,1,0,17,4
"132","24H-CF-90",1,"CF",90,"24H",39,4,5,9,44,48,0.8125,0.0833333333333333,0.104166666666667,0.1875,0.916666666666667,20,4
"133","24H-CF-90",7,"CF",90,"24H",27,20,1,21,28,48,0.5625,0.416666666666667,0.0208333333333333,0.4375,0.583333333333333,20,4
"134","24H-CF-90",13,"CF",90,"24H",24,22,2,24,26,48,0.5,0.458333333333333,0.0416666666666667,0.5,0.541666666666667,20,4
"135","24H-CF-90",21,"CF",90,"24H",19,27,2,29,21,48,0.395833333333333,0.5625,0.0416666666666667,0.604166666666667,0.4375,20,4
"136","24H-CF-90",28,"CF",90,"24H",12,34,2,36,14,48,0.25,0.708333333333333,0.0416666666666667,0.75,0.291666666666667,20,4
"138","24H-CO-1",1,"CO",1,"24H",45,2,1,3,46,48,0.9375,0.0416666666666667,0.0208333333333333,0.0625,0.958333333333333,18,4
"139","24H-CO-1",2,"CO",1,"24H",44,3,1,4,45,48,0.916666666666667,0.0625,0.0208333333333333,0.0833333333333333,0.9375,18,4
"140","24H-CO-1",7,"CO",1,"24H",42,5,1,6,43,48,0.875,0.104166666666667,0.0208333333333333,0.125,0.895833333333333,18,4
"141","24H-CO-1",14,"CO",1,"24H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,18,4
"142","24H-CO-1",21,"CO",1,"24H",41,6,1,7,42,48,0.854166666666667,0.125,0.0208333333333333,0.145833333333333,0.875,18,4
"143","24H-CO-1",28,"CO",1,"24H",41,7,0,7,41,48,0.854166666666667,0.145833333333333,0,0.145833333333333,0.854166666666667,18,4
"144","24H-CO-180",1,"CO",180,"24H",44,0,0,0,44,44,1,0,0,0,1,17,4
"145","24H-CO-180",7,"CO",180,"24H",37,3,4,7,41,44,0.840909090909091,0.0681818181818182,0.0909090909090909,0.159090909090909,0.931818181818182,17,4
"146","24H-CO-180",14,"CO",180,"24H",38,4,2,6,40,44,0.863636363636364,0.0909090909090909,0.0454545454545455,0.136363636363636,0.909090909090909,17,4
"147","24H-CO-180",21,"CO",180,"24H",33,10,1,11,34,44,0.75,0.227272727272727,0.0227272727272727,0.25,0.772727272727273,17,4
"148","24H-CO-180",28,"CO",180,"24H",31,12,1,13,32,44,0.704545454545455,0.272727272727273,0.0227272727272727,0.295454545454545,0.727272727272727,17,4
"149","24H-CO-90",1,"CO",90,"24H",48,0,0,0,48,48,1,0,0,0,1,20,4
"150","24H-CO-90",7,"CO",90,"24H",46,2,0,2,46,48,0.958333333333333,0.0416666666666667,0,0.0416666666666667,0.958333333333333,20,4
"151","24H-CO-90",13,"CO",90,"24H",43,4,1,5,44,48,0.895833333333333,0.0833333333333333,0.0208333333333333,0.104166666666667,0.916666666666667,20,4
"152","24H-CO-90",21,"CO",90,"24H",42,6,0,6,42,48,0.875,0.125,0,0.125,0.875,20,4
"153","24H-CO-90",28,"CO",90,"24H",38,10,0,10,38,48,0.791666666666667,0.208333333333333,0,0.208333333333333,0.791666666666667,20,4
