INSECT,STAGE_START,STAGE_END,"""2015-03-09""","""2015-03-15""","""2015-22-09""","""2015-29-09""","""2015-04-05""",Notes,DAYS.SINCE.PAINT
03H-5A-1-03,AM,AM,K,K,K,D,D,,180
03H-5A-1-04,AM,AM,K,D,D,D,D,,180
03H-5A-1-05,4,4,K,D,D,D,D,,180
03H-5A-1-06,5,5,K,D,D,D,D,,180
03H-5A-1-07,AF,AF,K,D,D,D,D,,180
03H-5A-1-08,5,5,D,D,D,D,D,,180
03H-5A-1-09,AF,AF,D,D,D,D,D,,180
03H-5A-1-10,AF,AF,K,D,D,D,D,,180
03H-5A-1-11,5,5,K,D,D,D,D,,180
03H-5A-2-01,5,5,K,D,D,D,D,,180
03H-5A-2-02,AF,AF,K,D,D,D,D,,180
03H-5A-2-03,AF,AF,K,K,K,K,K,,180
03H-5A-2-04,AM,AM,K,D,D,D,D,,180
03H-5A-2-05,AF,AF,K,D,D,D,D,,180
03H-5A-2-06,AF,AF,D,D,D,D,D,,180
03H-5A-2-07,AF,AF,K,K,K,K,D,,180
03H-5A-2-08,5,5,K,D,D,D,D,,180
03H-5A-2-09,AF,AF,K,D,D,D,D,,180
03H-5A-2-10,AM,AM,K,D,D,D,D,,180
03H-5A-2-11,AF,AF,K,D,D,D,D,,180
03H-5A-3-01,AF,AF,K,K,K,D,D,,180
03H-5A-3-02,AF,AF,K,K,D,D,D,,180
03H-5A-3-03,AF,AF,K,D,D,D,D,,180
03H-5A-3-04,AF,AF,K,D,D,D,D,,180
03H-5A-3-05,5,5,K,D,D,D,D,,180
03H-5A-3-06,5,5,D,D,K,D,D,,180
03H-5A-3-07,AF,AF,K,K,K,K,K,,180
03H-5A-3-08,5,5,D,D,D,D,D,,180
03H-5A-3-09,AF,AF,K,D,D,D,D,,180
03H-5A-3-10,5,5,D,D,D,D,D,,180
03H-5A-3-11,AM,AM,K,D,D,D,D,,180
03H-5A-4-01,5,5,D,D,D,D,D,,180
03H-5A-4-02,AF,AF,K,K,K,D,D,,180
03H-5A-4-03,4,4,K,D,D,D,D,,180
03H-5A-4-04,AF,AF,K,K,K,K,D,,180
03H-5A-4-05,5,5,K,K,K,D,D,,180
03H-5A-4-06,5,5,K,K,K,D,D,,180
03H-5A-4-07,AF,AF,K,K,K,K,D,,180
03H-5A-4-08,5,5,K,K,K,D,D,,180
03H-5A-4-09,AF,AF,A,D,D,D,D,,180
03H-5A-4-10,AF,AF,K,K,D,D,D,,180
03H-5A-4-11,5,5,K,D,D,D,D,,180
03H-CO-1-01,5,5,A,A,D,D,D,,180
03H-CO-1-02,AF,AF,A,A,A,A,A,,180
03H-CO-1-03,AF,AF,A,A,A,A,A,,180
03H-CO-1-04,AM,AM,A,A,D,D,D,,180
03H-CO-1-05,5,AF,A,A,A,A,A,Molt 3/9,180
03H-CO-1-06,AF,AF,A,A,A,A,A,,180
03H-CO-1-07,5,AF,A,A,A,A,A,Molting 3/9,180
