DATE,DAY,INSECT,TREATMENT,STRAIN,QUAD,LOCATION,STATUS,ALIVE,DEAD,KNOCKDOWN,NOTES
30-Mar-15,6,T-5A-ECL-3-A,5A,ECL,3,,D,,,,
30-Mar-15,6,T-5A-ECL-3-B,5A,ECL,3,,K,,,,
30-Mar-15,6,T-5A-ECL-3-C,5A,ECL,3,,K,,,,minimum voluntry motion
30-Mar-15,6,T-5A-ECL-4-A,5A,ECL,4,,D,,,,
30-Mar-15,6,T-5A-ECL-4-B,5A,ECL,4,,K,,,,
30-Mar-15,6,T-5A-ECL-4-C,5A,ECL,4,,D,,,,negative to paper test
31-Mar-15,7,T-CF-ECL-1-A,CF,ECL,1,,D,,,,"failed paper test, yellow fecal stain"
31-Mar-15,7,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
31-Mar-15,7,T-CF-ECL-1-C,CF,ECL,1,,K,,,,ver very small motion of legs and antenea
31-Mar-15,7,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
31-Mar-15,7,T-CF-ECL-2-B,CF,ECL,2,,A,,,,
31-Mar-15,7,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
31-Mar-15,7,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
31-Mar-15,7,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
31-Mar-15,7,T-CF-ECL-3-C,CF,ECL,3,,D,,,,
31-Mar-15,7,T-CF-ECL-4-A,CF,ECL,4,,A,,,,
31-Mar-15,7,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
31-Mar-15,7,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
31-Mar-15,7,T-CO-ECL-1-A,CO,ECL,1,,D,,,,
31-Mar-15,7,T-CO-ECL-1-B,CO,ECL,1,,A,,,,
31-Mar-15,7,T-CO-ECL-1-C,CO,ECL,1,,A,,,,
31-Mar-15,7,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
31-Mar-15,7,T-CO-ECL-2-B,CO,ECL,2,,A,,,,
31-Mar-15,7,T-CO-ECL-2-C,CO,ECL,2,,A,,,,
