day,camera,replicate,treatment,t1_distance,t2_distance,t3_distance,t4_distance,t5_distance,t6_distance,t7_distance,t8_distance,t9_distance,t10_distance,t11_distance,t12_distance,t13_distance,t14_distance,t15_distance,t16_distance,t17_distance,t18_distance,total_distance,t1_time_spent_in_open,t2_time_spent_in_open,t3_time_spent_in_open,t4_time_spent_in_open,t5_time_spent_in_open,t6_time_spent_in_open,t7_time_spent_in_open,t8_time_spent_in_open,t9_time_spent_in_open,t10_time_spent_in_open,t11_time_spent_in_open,t12_time_spent_in_open,t13_time_spent_in_open,t14_time_spent_in_open,t15_time_spent_in_open,t16_time_spent_in_open,t17_time_spent_in_open,t18_time_spent_in_open,total_opentime,t1_distance_spent_in_open,t2_distance_spent_in_open,t3_distance_spent_in_open,t4_distance_spent_in_open,t5_distance_spent_in_open,t6_distance_spent_in_open,t7_distance_spent_in_open,t8_distance_spent_in_open,t9_distance_spent_in_open,t10_distance_spent_in_open,t11_distance_spent_in_open,t12_distance_spent_in_open,t13_distance_spent_in_open,t14_distance_spent_in_open,t15_distance_spent_in_open,t16_distance_spent_in_open,t17_distance_spent_in_open,t18_distance_spent_in_open,total_open_distance
day 3,cam 2,rep10,infected,225.02,267.13,167.98,158.93,150.71,124.94,103.17,111.32,89.59,83.24,81.63,85.43,82.86,86.98,67.87,NA,NA,NA,1886.8,13.11036789,36.65551839,0,0,26.75585284,14.71571906,0,33.44481605,0,49.76588629,0,52.17391304,0,0,40.40133779,NA,NA,NA,267.0234114,6.35,24.5,0,0,10.05,8.06,0,10.38,0,12.16,0,16.69,0,0,8.15,NA,NA,NA,96.34
day 3,cam 2,rep10,infected,132.45,99.4,104.38,86.84,100.19,73.92,85.32,87.98,94.92,86.67,54.16,48.23,102.98,58.81,50.95,NA,NA,NA,1267.2,0,0,0,13.91304348,24.61538462,0,0,68.76254181,40.66889632,0,0,0,12.30769231,8.294314381,25.4180602,NA,NA,NA,193.9799331,0,0,0,9.62,12.23,0,0,14.43,4.68,0,0,0,2.85,1.48,4.15,NA,NA,NA,49.44
day 3,cam 2,rep10,control,107.78,83.2,77.59,94.56,74.75,78.27,81.82,98.32,86.18,77.78,76.1,87.63,73.33,73.51,0,NA,NA,NA,1170.82,0,51.37123746,0,105.1505017,0,0,228.2274247,81.60535117,0,0,0,0.535117057,0,0,0,NA,NA,NA,466.8896321,0,6.93,0,20.27,0,0,30.32,15.31,0,0,0,0,0,0,0,NA,NA,NA,72.83
day 3,cam 2,rep10,control,158.99,103.05,86.83,54.24,58.71,86.23,93.05,78.07,78.73,51.39,74.86,55.82,80.78,1.54,0,NA,NA,NA,1062.29,29.96655518,0,0,0,0,0,0,44.14715719,1.337792642,0,0,0,0,0,0,NA,NA,NA,75.45150502,12.21,0,0,0,0,0,0,9.55,0.27,0,0,0,0,0,0,NA,NA,NA,22.03
day 3,cam 3,rep11,infected,104.95,107.73,108.32,106.71,104.57,95.58,86.51,81.84,69.07,77.86,105.55,78.56,113.16,78.04,82.93,NA,NA,NA,1401.38,0,0,0,18.72909699,0,0,0,0,0,0,82.67558528,0,50.03344482,0,0,NA,NA,NA,151.4381271,0,0,0,9.09,0,0,0,0,0,0,14.41,0,12.78,0,0,NA,NA,NA,36.28
day 3,cam 3,rep11,infected,108.33,98.4,92.24,88.8,77.49,82.74,95,68.43,73.26,72.6,78.38,97.98,75.58,75.4,86.26,NA,NA,NA,1270.89,0,33.44481605,0,0,0,23.27759197,45.75250836,0,20.60200669,0,0,18.72909699,0,0,173.6454849,NA,NA,NA,315.451505,0,9.48,0,0,0,5.57,11.09,0,5.48,0,0,4.21,0,0,38.37,NA,NA,NA,74.2
day 3,cam 3,rep11,control,163.58,104.79,112.53,91.83,103.42,63.38,72.59,103.06,53.36,0,0,0.63,0,0,0,NA,NA,NA,869.17,18.99665552,0,44.94983278,0,0,0,0,103.277592,0,0,0,0,0,0,0,NA,NA,NA,167.2240803,7.62,0,13.56,0,0,0,0,31.63,0,0,0,0,0,0,0,NA,NA,NA,52.81
day 3,cam 3,rep11,control,290.85,335.16,267.66,191.36,111.01,77.75,114.58,22.35,135.85,54.9,75.87,80.75,105,71.92,69.19,NA,NA,NA,2004.2,35.05016722,133.7792642,54.5819398,4.280936455,0,0,43.34448161,0,13.91304348,0,0,39.59866221,0,0,57.25752508,NA,NA,NA,381.8060201,27.26,115.76,53.79,3.75,0,0,19.01,0,10.21,0,0,14.84,0,0,12.88,NA,NA,NA,257.5
day 3,cam 4,rep12,infected,92.3,181.09,128.84,114.17,146.6,176.37,75.95,139.08,99.26,55.14,102.79,89.81,116.98,148.08,138.73,NA,NA,NA,1805.19,22.20735786,12.84280936,4.013377926,7.224080268,16.05351171,62.60869565,0,96.85618729,0,0,0,0,0,5.618729097,64.74916388,NA,NA,NA,292.173913,18.55,9.3,2.39,3.84,10.65,36.5,0,26.28,0,0,0,0,0,2.95,17.98,NA,NA,NA,128.44
day 3,cam 4,rep12,infected,161.13,155.73,118.23,92.43,57.08,49.02,77.22,119.44,106.4,66.79,70.15,91.92,68.02,36.9,0,NA,NA,NA,1270.46,121.4715719,134.3143813,24.34782609,0,0,0,20.33444816,33.71237458,49.76588629,15.25083612,0,46.28762542,19.53177258,52.44147157,0,NA,NA,NA,517.458194,36.96,41.07,9.72,0,0,0,6.68,12.79,14.05,5.77,0,14.45,3.95,11.17,0,NA,NA,NA,156.61
day 3,cam 4,rep12,control,129.51,111.61,112.18,119.53,80.74,93.52,106.13,97.15,111.88,52.61,106.09,131.6,110.16,81.44,72.06,NA,NA,NA,1516.21,37.19063545,0,32.64214047,84.28093645,0,0,0,0,0,0,94.71571906,44.94983278,33.17725753,0,32.909699,NA,NA,NA,359.8662207,12.53,0,7.2,20.56,0,0,0,0,0,0,18.1,12.01,13.43,0,9.45,NA,NA,NA,93.28
day 3,cam 4,rep12,control,207.85,176.87,179.65,152.31,142.6,125.17,107.76,137.4,79.88,118.6,83.92,100.65,81.07,150.86,96.62,NA,NA,NA,1941.21,9.632107023,61.80602007,47.62541806,23.01003344,56.18729097,47.89297659,50.56856187,34.51505017,0,74.11371237,0,103.812709,0,27.82608696,125.7525084,NA,NA,NA,662.7424749,8.43,21.91,24.7,16.31,23.98,13.32,22.34,18.11,0,12.18,0,15.11,0,10.82,24.48,NA,NA,NA,211.69
day 4,cam 1,rep13,infected,157.12,120.08,97.68,127.16,57.17,91.38,94.69,82.64,79.93,96.67,81.2,77.7,73.07,70.76,74.75,0.5,0,0,1382.5,13.11036789,89.63210702,191.0367893,118.7959866,599.8662207,138.0602007,111.5719064,284.4147157,341.1371237,284.1471572,10.70234114,0,0,8.829431438,341.1371237,0,0,0,2532.441472,10.06,17,27.9,23.34,57.17,18.99,18.66,36.33,46.34,36.87,3.09,0,0,1.36,40.54,0,0,0,337.65
day 4,cam 1,rep13,infected,477.06,415.98,225.14,290.37,211.68,223.9,158.11,157.66,130.13,141.64,116.01,83.27,133.58,119.36,119.61,125.82,127.37,129.84,3386.53,40.13377926,59.13043478,32.909699,69.03010033,101.9397993,0,67.42474916,66.88963211,18.99665552,0,17.39130435,0,11.50501672,0,105.9531773,34.51505017,49.49832776,0,675.3177258,52.71,55.42,19.01,29.35,35.26,0,8.27,22.46,10.75,0,4.66,0,1.73,0,21.64,8.55,19.75,0,289.56
day 4,cam 1,rep13,control,313.21,253.93,157.21,210.75,204.44,151.33,95.18,76.54,145.61,101.19,85.05,86.8,73.67,81.45,89.45,77.79,85.14,63.08,2351.82,24.61538462,44.41471572,0,0,30.76923077,0,0,0,23.5451505,7.491638796,0,17.12374582,0,0,12.30769231,0,0,0,160.2675585,19.65,30.3,0,0,27.98,0,0,0,12.06,3.52,0,6.46,0,0,5.31,0,0,0,105.28
day 4,cam 1,rep13,control,280.53,292.03,272.31,116.98,105.29,58.32,69.61,130.83,81.32,76.7,73.15,70.03,23.81,0,0,0,0,0,1650.91,5.618729097,8.294314381,0.535117057,0,26.22073579,0,0,152.2408027,0,0,0,0,0,0,0,0,0,0,192.909699,7.92,9.7,0.33,0,10.92,0,0,44.39,0,0,0,0,0,0,0,0,0,0,73.26
day 4,cam 2,rep14,infected,231.07,143.78,126.23,68.09,94.57,117.41,125.69,113.78,92.41,79.81,36.7,22.25,45.15,81.24,75.48,4.44,0,0,1458.1,9.899665552,0,0,0,4.280936455,104.0802676,36.65551839,78.39464883,0,0,0,0,0,0,0,0,0,0,233.3110368,3.61,0,0,0,3.47,33.27,9.72,23.18,0,0,0,0,0,0,0,0,0,0,73.25
