"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 4","cam 4","rep16","control",248.39,217.53,201.22,208,169.08,68.61,126.97,89.7,72.64,119.43,96.05,106.82,66.2,0,101.15,103.1,77.97,52.04,2124.9,12.5752508361204,29.6989966555184,10.1672240802676,48.695652173913,32.6421404682274,0,0,22.742474916388,89.6321070234114,37.190635451505,40.6688963210702,0,0,0,7.49163879598662,0,0,0,331.505016722408,11.74,21.24,6.99,26.29,14.73,0,0,9.72,12.06,17.72,12.82,0,0,0,4.11,0,0,0,137.42
"day 5","cam 1","rep17","control",92.68,248.24,72.8,0,0,0,318.37,379.45,433.01,342.34,257.87,147.12,80.54,120.75,76.62,107.33,79.24,136.19,2892.55,0,14.180602006689,10.9698996655518,0,0,0,31.8394648829431,126.822742474916,45.752508361204,55.1170568561873,95.2508361204013,31.5719063545151,3.47826086956522,75.1839464882943,464.214046822742,0,0,41.2040133779264,995.585284280937,0,24.92,9.51,0,0,0,48.41,85.25,41.41,41.73,32.67,17.86,7.83,15.42,54.4,0,0,22.53,401.94
"day 5","cam 1","rep17","control",377.25,353.45,324.96,277.49,165.86,267.29,169.93,166.39,118.94,87.53,73.75,72.95,2.48,0.24,0,0,7.51,70.06,2536.08,10.4347826086957,34.7826086956522,24.0802675585284,4.2809364548495,0,62.6086956521739,23.5451505016722,52.7090301003345,0,0,0,0,0,0,0,0,0,0,212.441471571906,11.57,43.79,23.04,5,0,40.34,13.29,19.11,0,0,0,0,0,0,0,0,0,0,156.14
"day 5","cam 2","rep18","control",336.76,170.78,118.39,117.07,90.14,87.28,87.54,64.15,20.05,0,0,0,0,0,0,0,0,0,1092.16,6.15384615384615,0,9.36454849498328,26.2207357859532,0,198.795986622074,188.09364548495,0,0,0,0,0,0,0,0,0,0,0,428.628762541806,13.25,0,13.64,12.35,0,37.02,28.35,0,0,0,0,0,0,0,0,0,0,0,104.61
"day 5","cam 2","rep18","control",469.51,190.68,132.3,40.12,50.88,45.5,51.68,65.95,0.17,0,0,0,0,0,0,0,0,0,1046.79,100.066889632107,0,16.0535117056856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.120401337793,92.73,0,11.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.39
"day 5","cam 3","rep19","control",544.35,258.02,220.92,183.62,177.78,202.49,177.76,145.92,96.91,88.98,87.25,101.05,93.83,59.95,103.67,74.11,77.07,50.65,2744.33,47.8929765886288,9.89966555183947,0,76.5217391304348,36.3879598662207,39.3311036789298,29.9665551839465,19.5317725752508,0,0,0,46.5551839464883,69.2976588628763,0,80.8026755852843,0,77.3244147157191,0,533.511705685619,67.2,11.31,0,25.04,25.56,27.52,15.21,11.13,0,0,0,10.52,24.05,0,19.75,0,16.77,0,254.06
"day 5","cam 3","rep19","control",398.58,322.68,282.55,202.07,111.12,112.81,126.87,106.96,94.11,88.2,107.92,59.18,120.02,59.12,73.38,63.53,42.88,73.74,2445.72,45.2173913043478,2.40802675585284,12.0401337792642,33.7123745819398,136.454849498328,24.8829431438127,43.0769230769231,2.40802675585284,0,5.61872909698997,203.879598662207,0,50.5685618729097,0,0,0,0,118.795986622074,679.063545150502,41.22,1.69,9.4,12.78,14.39,9.52,12.32,1.53,0,2.97,38.97,0,22.07,0,0,0,0,17.38,184.24
"day 5","cam 4","rep20","control",248.62,169.99,88.3,153.9,113.61,152.38,121.23,91.27,93.89,73.34,116.81,114.48,84.25,70.31,103.07,68.91,67.09,NA,1931.45,143.946488294314,162.675585284281,240.802675585284,271.571906354515,131.103678929766,63.4113712374582,9.36454849498328,187.558528428094,41.7391304347826,0,0,32.1070234113712,2.67558528428094,0,98.9966555183946,0,0,NA,1385.95317725753,58.15,12.89,32.9,57.84,37.51,22.44,4.62,27.49,8.24,0,0,12.36,0.64,0,18.13,0,0,NA,293.21
"day 5","cam 4","rep20","control",416.33,311.61,179.46,238.74,134.76,155.19,86.49,57.27,169.37,58.91,62.18,129.03,46.6,46.4,40.57,5.67,0,NA,2138.58,13.6454849498328,44.9498327759197,34.247491638796,38.5284280936455,4.0133779264214,0,0,0,41.2040133779264,0,438.528428093646,14.4481605351171,0,0,0,0,0,NA,629.565217391304,22.75,38.03,16.28,29.15,3.78,0,0,0,28.8,0,45,14.76,0,0,0,0,0,NA,198.55
"day 6","cam 1","rep21","control",200.96,162,80.42,114.12,93.77,64.54,47.54,0,0,0,0,0,2.31,0,0,0,0,136.15,901.81,0,0,0,58.0602006688963,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9230769230769,94.9832775919732,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,27.88
"day 6","cam 1","rep21","control",128.2,126.68,102.35,86.16,85.74,111.22,105.75,98.74,91.64,67.34,72.46,91.06,2.5,0,0,0,0,0,1169.84,0,40.9364548494983,0,0,0,56.9899665551839,32.3745819397993,124.414715719064,99.2642140468227,0,0,0,0,0,0,0,0,0,353.979933110368,0,9.45,0,0,0,12.8,3.97,30.52,23.28,0,0,0,0,0,0,0,0,0,80.02
"day 6","cam 2","rep22","control",278.36,273.24,203.93,168.09,201.38,173.05,128.43,87.38,71.6,119.81,101.38,64.73,49.6,76.11,108.12,82.27,95.56,92.88,2375.92,2.14046822742475,0,10.1672240802676,0,24.6153846153846,0,0,0,27.5585284280936,24.3478260869565,11.2374581939799,0,0,10.9698996655518,17.3913043478261,17.123745819398,21.1371237458194,31.0367892976589,197.725752508361,3.71,0,10.78,0,11.15,0,0,0,8.36,7.42,5.36,0,0,6.04,9.97,5.13,12.2,12.28,92.4
"day 6","cam 2","rep22","control",267.25,211.66,181.99,104.89,56.56,61.25,57.05,50.62,0,0,0,0,0,0,0,0,0,0,991.27,71.9732441471572,0,124.414715719064,0,84.0133779264214,195.585284280936,0,0,0,0,0,0,0,0,0,0,0,0,475.986622073579,58.31,0,73.31,0,6.65,20.23,0,0,0,0,0,0,0,0,0,0,0,0,158.5
"day 6","cam 3","rep23","control",278.94,167.28,160.94,198.92,160.82,123.54,184.25,110.72,118.53,144.43,105.3,61.09,83.24,83.85,115,107.35,124.37,96.35,2424.92,27.5585284280936,0,154.38127090301,46.2876254180602,10.9698996655518,18.1939799331104,45.2173913043478,158.127090301003,480.535117056856,43.8795986622074,285.752508361204,153.311036789298,106.488294314381,90.4347826086957,349.43143812709,167.224080267559,200.133779264214,427.558528428094,2765.48494983278,48.84,0,23.87,36.5,11.18,11.16,19.54,30.99,77.04,13.58,44.07,17.46,24.24,14.5,65.16,25.99,46.98,64.37,575.47
"day 6","cam 3","rep23","control",27.99,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0.94,0,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"day 6","cam 4","rep24","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"day 6","cam 4","rep24","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"day 7","cam 1","rep25","control",288.65,296,323.13,308.61,272.05,306.78,234.14,228.31,215.2,231.7,127.67,145.51,254.33,228.66,217.58,232.13,127.72,144.39,4182.56,26.2207357859532,1.60535117056856,24.3478260869565,0,11.7725752508361,0,0,33.9799331103679,117.190635451505,1.07023411371237,93.1103678929766,36.6555183946488,0,33.9799331103679,117.190635451505,1.07023411371237,93.1103678929766,36.6555183946488,627.959866220736,19.51,0.77,17.37,0,8.82,0,0,17.15,45.26,0.72,15.85,19.91,0,17.15,45.26,0.72,15.85,19.91,244.25
"day 7","cam 1","rep25","control",218.46,207,210.55,240.63,72.54,66.63,100.55,101.51,84.94,0,0,0,106.25,102.32,85.92,0,0,0,1597.3,2.40802675585284,0,27.2909698996656,67.6923076923077,0,0,18.7290969899666,0,0,0,0,0,18.7290969899666,0,0,0,0,0,134.849498327759,7.54,0,21.19,40.77,0,0,8.69,0,0,0,0,0,8.69,0,0,0,0,0,86.88
