"day","camera","replicate","treatment","t1_distance","t2_distance","t3_distance","t4_distance","t5_distance","t6_distance","t7_distance","t8_distance","t9_distance","t10_distance","t11_distance","t12_distance","t13_distance","t14_distance","t15_distance","t16_distance","t17_distance","t18_distance","total_distance","t1_time_spent_in_open","t2_time_spent_in_open","t3_time_spent_in_open","t4_time_spent_in_open","t5_time_spent_in_open","t6_time_spent_in_open","t7_time_spent_in_open","t8_time_spent_in_open","t9_time_spent_in_open","t10_time_spent_in_open","t11_time_spent_in_open","t12_time_spent_in_open","t13_time_spent_in_open","t14_time_spent_in_open","t15_time_spent_in_open","t16_time_spent_in_open","t17_time_spent_in_open","t18_time_spent_in_open","total_opentime","t1_distance_spent_in_open","t2_distance_spent_in_open","t3_distance_spent_in_open","t4_distance_spent_in_open","t5_distance_spent_in_open","t6_distance_spent_in_open","t7_distance_spent_in_open","t8_distance_spent_in_open","t9_distance_spent_in_open","t10_distance_spent_in_open","t11_distance_spent_in_open","t12_distance_spent_in_open","t13_distance_spent_in_open","t14_distance_spent_in_open","t15_distance_spent_in_open","t16_distance_spent_in_open","t17_distance_spent_in_open","t18_distance_spent_in_open","total_open_distance"
"day 4","cam 4","rep16","infected",265,264.65,144.13,89.1,165.81,167.92,93.46,58.96,95.43,131.07,138.51,73.57,69.82,68.39,103.23,77.67,68.69,108.87,2184.28,13.9130434782609,94.7157190635452,21.4046822742475,5.08361204013378,16.5886287625418,34.5150501672241,0,278.795986622074,204.414715719064,170.167224080268,167.491638795987,10.4347826086957,0,0,17.6588628762542,0,0,42.0066889632107,1077.19063545151,27.9,49.33,11,9.74,19.67,10.61,0,26.48,23.99,31.13,20.51,1.19,0,0,7.27,0,0,15.42,254.24
"day 5","cam 1","rep17","infected",216.75,177.2,134.79,120.23,121.56,95.18,105.27,99.04,29.57,0,0,23.93,98.37,74.47,66.96,103.46,88.38,76.94,1632.1,122.541806020067,40.133779264214,118.528428093645,56.1872909698997,94.7157190635452,0,6.95652173913044,78.6622073578595,0,0,0,0,6.68896321070234,0,0,130.033444816054,21.4046822742475,0,675.852842809365,41.16,11.59,36.33,12.76,25.29,0,2.85,19.41,0,0,0,0,2.52,0,0,29.28,7.02,0,188.21
"day 5","cam 1","rep17","infected",293.24,243.75,174.49,183.4,151.51,153.7,138.05,116.98,110.66,139.36,138.73,96.1,104.76,77.72,77.28,97.74,97.35,78.35,2473.17,78.3946488294314,35.0501672240803,0,0,23.0100334448161,31.8394648829431,71.9732441471572,0,34.7826086956522,98.7290969899666,58.3277591973244,104.615384615385,82.1404682274247,0,0,0,0,0,618.862876254181,64.03,11.27,0,0,9.44,9.98,14.89,0,12.14,31.53,22.02,20.25,24.69,0,0,0,0,0,220.24
"day 5","cam 2","rep18","infected",226.12,160.3,156.83,126.75,77.59,59.05,65.81,1.53,0,0,0,0,0,0,0,0,0,0,873.98,8.02675585284281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02675585284281,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"day 5","cam 2","rep18","infected",192.75,135.35,102.83,83.02,91.96,106.95,79.28,85.01,82.85,97.86,81.24,86.14,77.73,78.88,77.8,47.04,67.73,80.76,1655.18,69.0301003344482,50.0334448160535,0,0,177.926421404682,175.785953177258,0,0,0,48.695652173913,20.8695652173913,104.347826086957,0,0,0,0,0,0,646.688963210702,33.54,18.86,0,0,21.28,30.32,0,0,0,13.05,2.45,23.24,0,0,0,0,0,0,142.74
"day 5","cam 3","rep19","infected",257.26,227.98,186.87,185.02,147.88,170.54,169.42,109.47,176.64,75.09,69.38,64.76,35.31,41.93,39.51,37.79,63.52,62.63,2121,10.9698996655518,0,43.3444816053512,39.866220735786,0,16.8561872909699,0,0,28.0936454849498,0,0,0,0,0,0,0,0,0,139.130434782609,2.9,0,22.57,18.04,0,10.2,0,0,14.51,0,0,0,0,0,0,0,0,0,68.22
"day 5","cam 3","rep19","infected",332.36,393.75,336.18,262.56,105.94,154.61,136.15,104.41,113.52,97.51,64.04,120.06,97.78,127.34,106.5,104.13,68.01,120.1,2844.95,58.8628762541806,46.2876254180602,25.9531772575251,17.9264214046823,0,88.8294314381271,0,0,73.3110367892977,74.38127090301,0,47.6254180602007,0,106.755852842809,0,59.6655518394649,0,70.3678929765886,669.966555183947,51.13,53.61,27.52,17.73,0,38.81,0,0,13.36,13.21,0,12.45,0,38.73,0,20.56,0,23.31,310.42
"day 5","cam 4","rep20","infected",167.83,163.48,167.1,112.12,148.45,120.75,101.14,96.32,124.75,123.31,107.4,94.44,116.47,98.89,115.81,87.03,99.12,NA,2044.41,3.74581939799331,0,60.2006688963211,37.190635451505,51.9063545150502,0,1.07023411371237,0,65.5518394648829,8.02675585284281,67.6923076923077,11.7725752508361,0,0,27.5585284280936,0,54.314381270903,NA,389.030100334448,2.73,0,14.74,10.25,18.89,0,0.16,0,11.81,2.15,16.18,2.94,0,0,10.73,0,12.33,NA,102.91
"day 5","cam 4","rep20","infected",250.73,204.41,178.89,146.31,142.42,145.45,63.93,104.54,108.59,81.71,75.86,72.31,67.05,68.97,68.36,74.94,74.48,NA,1928.95,78.6622073578595,0,36.3879598662207,28.3612040133779,21.6722408026756,0,0,48.1605351170569,0,472.775919732441,599.866220735786,250.702341137124,0,0,0,0,0,NA,1536.58862876254,40.7,0,14.42,7.68,5.3,0,0,15.43,0,56.28,75.86,29.89,0,0,0,0,0,NA,245.56
"day 6","cam 1","rep21","infected",245.11,118.4,187.03,229.76,203.96,180,84.22,93.23,121.97,172.71,135.33,87.37,185.76,97.58,92.47,74.53,78.3,70.66,2458.39,79.4648829431438,0,9.36454849498328,35.0501672240803,40.133779264214,0,17.123745819398,0,53.7792642140468,11.2374581939799,50.8361204013378,33.9799331103679,58.3277591973244,264.347826086957,0,0,0,0,653.645484949833,52.84,0,8.9,21.06,35.33,0,6.62,0,36.1,4.28,12.51,19.72,13.27,39.64,0,0,0,0,250.27
